reviewText,overall
Great product and price!,5.0
Great product and price!,5.0
Great product and price!,5.0
Great product and price!,5.0
Great product and price!,5.0
Waaay too small. Will use for futur children!,3.0
Stays vibrant after many washes,5.0
Stays vibrant after many washes,5.0
My son really likes the pink. Ones which I was nervous about,5.0
Waaay too small. Will use for future child.,3.0
Relieved my Plantar Fascitis for 3 Days. Then the unbearable pain returned in full force. These were recommended by my Podiatrist.,2.0
"This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, the ones I ordered from SmartDestination must be seconds as they kill my feet. The hard plastic insert rubs on the outside edges of my feet. I am unable to exchange them as I waited one day too late to use them in my walking shoes.",2.0
We have used these inserts for years.  They provide great support.,5.0
"Pinnacle seems to have more cushioning so my husband likes them better. He's tried all the other Powerstep inserts as well as other brands. This is his must have insert. He is 6'3"" and weighs 257lbs with bone spurs (plantar fasciitis) and a high instep. He is very active and wears these in all his shoes. His bone spurs rarely bother him any more. Remember to replace them every 3 months if you wear them every day, especially if you weigh more than average and/or run.",5.0
Excellent insole with good support.,5.0
A little more cushion than the Powerstep Protech but the arch is maybe just a little lower. We love both styles. Excellent for plantar fasciitis and neuromas.,5.0
These insoles help my heels feel much better.  I would never wear a pair of athletic shoes with the original insoles.,5.0
Relieved my Plantar Fascitis for 3 Days. Then the unbearable pain returned in full force. These were recommended by my Podiatrist.,2.0
"This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, the ones I ordered from SmartDestination must be seconds as they kill my feet. The hard plastic insert rubs on the outside edges of my feet. I am unable to exchange them as I waited one day too late to use them in my walking shoes.",2.0
We have used these inserts for years.  They provide great support.,5.0
"Pinnacle seems to have more cushioning so my husband likes them better. He's tried all the other Powerstep inserts as well as other brands. This is his must have insert. He is 6'3"" and weighs 257lbs with bone spurs (plantar fasciitis) and a high instep. He is very active and wears these in all his shoes. His bone spurs rarely bother him any more. Remember to replace them every 3 months if you wear them every day, especially if you weigh more than average and/or run.",5.0
Excellent insole with good support.,5.0
A little more cushion than the Powerstep Protech but the arch is maybe just a little lower. We love both styles. Excellent for plantar fasciitis and neuromas.,5.0
These insoles help my heels feel much better.  I would never wear a pair of athletic shoes with the original insoles.,5.0
Waaaay too BIG,1.0
Comfortable,5.0
"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",4.0
Good product for the price.  Used very day and no problem.,5.0
Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,5.0
Waaaay too BIG,1.0
Excellent value.  Comfortable.,5.0
"Typical Hanes quality. Good weight, sized just right, made pretty well",5.0
"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",3.0
"Fit perfectly. I bought dark grey, and they didn't fade",5.0
They fit great. But they fade bad,3.0
I only give four stars because the pants have no pockets.,4.0
Average product.  As described.,3.0
Comfortable,5.0
comfy fit,5.0
Nice pants but too small for a medium. Return it.,2.0
Nice pants but too small for a medium. Returned it.,2.0
"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",4.0
"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.",1.0
As described.,3.0
Very comfy for wearing at home.,5.0
So comfortable and soft.,5.0
"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.",2.0
"No pockets and huge, the bottom of the pants go over shoes",3.0
Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,4.0
So comfortable and soft.,5.0
"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.",2.0
"No pockets and huge, the bottom of the pants go over shoes",3.0
Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,4.0
"Love 'em, just the plain no frills no pockets not too heavy good ol sweatpants.",5.0
Good product for the price.  Used very day and no problem.,5.0
Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,5.0
"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",4.0
Excellent value.  Comfortable.,5.0
"Typical Hanes quality. Good weight, sized just right, made pretty well",5.0
"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",3.0
"Fit perfectly. I bought dark grey, and they didn't fade",5.0
They fit great. But they fade bad,3.0
I only give four stars because the pants have no pockets.,4.0
Average product.  As described.,3.0
comfy fit,5.0
Nice pants but too small for a medium. Return it.,2.0
Nice pants but too small for a medium. Returned it.,2.0
"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",4.0
"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.",1.0
As described.,3.0
Havaiana's are THE BEST!!!,5.0
Perfect color!,5.0
Should have listened to other reviews. The elastics does not hold up.,1.0
Constantly rolls down,1.0
Superrrr thigh high. Im 54 and it easily reaches 3/4 up my thigh!!,5.0
I just wish they would not roll down.,4.0
"Sadly, not a true red. It's definitely orange",4.0
"Well made, soft, thick & so very colorful. Bought the just as gorgeous rich, red Fireman's scarf, too. My little fella is quite the fashion plate! And toasty, too!",5.0
Not pretty for fashion but great around the house and work.,3.0
"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",2.0
Excellent value,4.0
"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",3.0
"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",4.0
Not pretty for fashion but great around the house and work.,3.0
"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",2.0
Excellent value,4.0
"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",3.0
"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",4.0
Waaaay too BIG,1.0
Comfortable,5.0
"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",4.0
Good product for the price.  Used very day and no problem.,5.0
Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,5.0
Waaaay too BIG,1.0
Excellent value.  Comfortable.,5.0
"Typical Hanes quality. Good weight, sized just right, made pretty well",5.0
"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",3.0
"Fit perfectly. I bought dark grey, and they didn't fade",5.0
They fit great. But they fade bad,3.0
I only give four stars because the pants have no pockets.,4.0
Average product.  As described.,3.0
Comfortable,5.0
comfy fit,5.0
Nice pants but too small for a medium. Return it.,2.0
Nice pants but too small for a medium. Returned it.,2.0
"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",4.0
"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.",1.0
As described.,3.0
Very comfy for wearing at home.,5.0
So comfortable and soft.,5.0
"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.",2.0
"No pockets and huge, the bottom of the pants go over shoes",3.0
Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,4.0
So comfortable and soft.,5.0
"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.",2.0
"No pockets and huge, the bottom of the pants go over shoes",3.0
Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,4.0
"Love 'em, just the plain no frills no pockets not too heavy good ol sweatpants.",5.0
Good product for the price.  Used very day and no problem.,5.0
Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,5.0
"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",4.0
Excellent value.  Comfortable.,5.0
"Typical Hanes quality. Good weight, sized just right, made pretty well",5.0
"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",3.0
"Fit perfectly. I bought dark grey, and they didn't fade",5.0
They fit great. But they fade bad,3.0
I only give four stars because the pants have no pockets.,4.0
Average product.  As described.,3.0
comfy fit,5.0
Nice pants but too small for a medium. Return it.,2.0
Nice pants but too small for a medium. Returned it.,2.0
"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",4.0
"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.",1.0
As described.,3.0
Havaiana's are THE BEST!!!,5.0
Perfect color!,5.0
Should have listened to other reviews. The elastics does not hold up.,1.0
Constantly rolls down,1.0
Superrrr thigh high. Im 54 and it easily reaches 3/4 up my thigh!!,5.0
I just wish they would not roll down.,4.0
"Sadly, not a true red. It's definitely orange",4.0
"Well made, soft, thick & so very colorful. Bought the just as gorgeous rich, red Fireman's scarf, too. My little fella is quite the fashion plate! And toasty, too!",5.0
Not pretty for fashion but great around the house and work.,3.0
"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",2.0
Excellent value,4.0
"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",3.0
"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",4.0
Not pretty for fashion but great around the house and work.,3.0
"I'm not sure I was shipped the correct style.  The ones I received are a lot clunkier than I expected, although the quality is fine.",2.0
Excellent value,4.0
"they are fine for the value, particularly since I lose so many
reading glasses.  some of the screws do require constant
tightening.",3.0
"It is so handy to have this many reading glasses at such a reasonable price.  I like this style reading glasses instead of the ones with nose pieces, I find this style more comfortable.  These glasses are very nice...cheaper than Walmart!",4.0
Good light weight shoe...had to add insole for more support.,4.0
I love my tennis shoes,5.0
"This is a shoe I will wear with black dress pants or jeans when I need comfort and a little style, but I am not impressed.  This is a very flimsy shoe with little support at all.  Not like any Nike I've ever purchased in the past.  It looks nice, but it's not comfortable.",3.0
"Love it!! Super comfortable and nice!! Got more than I expected, super flexible great for training. Definetly recommend it.",5.0
Excelente,5.0
"These shoes are poorly constructed and I don't expect them to last more that one summer.  Would not recommend, and will not order another Nike downshifter series again",2.0
"For the price I spent on the pair of shoes, I'd say it's as good as expected.
It's comfortable and doesn't hurt my feet when I run.",4.0
I always get a half size up in my tennis shoes. For some reason these feel to big in the heel area and wide.,3.0
Put them on and walked 3 hours with no problem! Love them! So light feeling,5.0
excelente,5.0
"Love these shoes!
So stylish and comfortable. Just got back from a trip to NYC, Black and white Nikes and yoga pants are in high fashion right now!",5.0
"This shoe is JUST OK. Its not as comfortable as I was expecting, compared to my last pair of NIKE shoes. I hope they hold up.",3.0
Best tennis shoes I've had all my life. Very comfortable out the box. I would buy 10 pairs of these shoes if had the money.,5.0
The color pattern and fit is what I liked the most what I liked the least is that they are not easy to clean and stains do not come out very easy or at all,5.0
"love these shoes. Workout in them 3-4 times a week at the gym. I do treadmill, stairmaster, cardio classes and weight lifting. lightweight and versatile shoe.",5.0
"Great shoe. I've had Nike's before and have always been pleased with the comfort, performance, and quality. Though I will say this was the first time I ordered a pair online without trying them on first, so I was nervous. But this turned out to be a great choice. Breathable, lightweight but sturdy, and comfortable during all my workouts. The built-in arch support is great and I've had no discomfort after 2 weeks of use. As far as the sole thickness and cushioning goes, I would consider these a 'medium' build (not thin, not overly thick) so if you're into heavy running outdoors then take that into consideration. Everyone is different in their preference for cushioning, but I think for light runs on a treadmill they would be sufficient. Love these, highly recommend!",5.0
The material is real then hope they don't fall apart . to expensive for what you get.,3.0
Nice,3.0
Gracias,5.0
Love these shoes!! They are true to size and very comfortable!! This is my second pair - I wore out the first pair!! Good arch support - I have a high arch!!,5.0
,5.0
Great arch support and comfortable.,5.0
It looks a bit nicer on the picture. Its very light in such a way that when I held the box I wondered if there was just paper filling inside. They are comfortable for the most. Good looking training shoes overall.,4.0
second pair. Comfortable and great for people with bunion issues or previous surgeries.  Sole wears great,5.0
My daughter loves these shoes. Fit true to size.,5.0
Purchased for my daughter for gym class.  She loves them.  Very cute and very comfortable.,5.0
Great look but zero support inside the shoe. Had to buy expensive inserts to be wearable. Expected more from a nike shoe.,3.0
"Straight out of the box, these shoes are great! Very lightweight and fits comfortably on my feet like a glove! I love most especially that the sole is not bulky like my previous running shoes  I hated those things lol! I would give them a shot and they are great for the price!",5.0
Great shoes. Fit perfectly. Comfortable right from the start. Light weight and perfect for a 12 hour work shift. Good price also.,5.0
I love them! They fit perfect and are very comfortable!!,5.0
Love these lightweight shoes! Absolute favorite. Always order half a size bigger with nike shoes than with every other shoe in my closet.,5.0
My knees were bothering me during HIIT workouts so i  purchased these shoes after researching many styles.  Fit true to size and are lightweight.  My knees feel better so so hard so good.  They are cute in too!!,5.0
Love the color!,5.0
"Comfortable athletic shoe,  good for the gym (ellipical, tredmill, etc.) Fit is good, and shoe is really lightweight and comfy.",4.0
"The shoes fit perfectly and came within the time frame i was given.  Very comfortable, which is needed since my job requires a lot if standing abd walking throughout the day.",5.0
They looked very cheap,1.0
The fit is as expected,5.0
Very comfortable shoes. This is my second pair of this style of shoe because I loved them that much.,5.0
"Comfortable, consistent each time I order and good looking",5.0
I love the shoe and it fit as expected the photos and description are accurate if you're looking for a shoe that has more cushion or support try a different style but as far as wanting a lightweight and breathable shoe this is it. I am very satisfied with this purchase,5.0
These are so cute and comfortable and very light. I just received them today and the fit is perfect. I normally wear an 8 1/2 and they are true to size!,5.0
I always order a 1/2 size up in workout shoes.,5.0
"I wore these shoe one time, from the airport in Omaha, NE to the airport in Phoenix, AZ. When I arrived in Phoenix, the left shoe/sole started squeaking and won't stop. I want to return for a refund. Need instructions for returning as no paperwork was in my package when it arrived.",1.0
They run big and are super uncomfortable and the soles squeak. They don't breathe at all.,2.0
Exactly what I expected! Comfortable and chic,5.0
They were a gift  to my daughter she loved them,5.0
Love these comfy shoes. they fit like a glove.,5.0
Very confortable.,5.0
i love these shoes.,5.0
"Lightweight, decent arch support and comfortably to wear all day doing regular activity and sprinting.",5.0
daughter loves them,5.0
"I ordered a 1/2 size smaller than my usual size, and they are perfect. These shoes are hard to find. Great customer service as well.",5.0
"Very good overall.
Now Ive been a huge Sketchers Go Walk fan for some time and the only reason I tried these instead of the latest number 4 of those is because the tread looked too slippery to me.
These shoes are very sturdy and the grip of the soles has been very solid so far. I use them for basic workout cardio and cross training, as well as work as a massage therapist (I go through shoes fast enough that Ive recently consolidated).
If you're a Go Walk fan, these do not offer the same level of cushion-comfort as those, HOWEVER, they offer the kind of long-term comfort to make them a durable option.
The material of the shoes seem very durable and the breathable. My feet do not feel hot in them.
Now these shoes are ideal for a basic workout or cross training, I would not get them to do 25,000 steps in Walt Disney World.
Solid choice, overall.",4.0
Wife loves them!,5.0
"These shoes are extremely comfortable, and fit as expected.  Will purchase again.",5.0
Artculo equivocado en color,1.0
Glad I read the reviews and ordered a half size too big. These are light weight. I worked out in them last night and had a great work out. They are very comfortable. I would recommend these to anyone. I am a Beach Body Coach and these are now my new favorite shoes to work out in. I feel like I am walking in slippers when I wear these shoes. They are so comfortable. I LOVE them so much. I never buy myself anything nice and for Christmas got an Amazon gift card and used it to buy myself these sneakers and they are so awesome. I really do love them and have been telling all my friends about them. GET THESE SHOES!,5.0
"On the left shoe, there were two stained yellow spots.",3.0
"I love these, I had the previous iteration (or maybe two earlier?) and finally wore them out after several years. They are definitely a light-weight training shoe so I wouldn't get them if you are going to be doing a lot of running. But this also makes them extremely comfortable, I hadn't realized how hot running shoes made my feet until I switched to these. Good support and my feet stay cool all day, also noticeably light but well-made and long lasting.

I have worn them hiking in a pinch but don't really recommend it because the material is mesh-like and will let a lot of dirt in. But if you mainly take cardio classes and/or do weight training or just need something to wear around town look no further.",5.0
