reviewText,overall
Another great gift.,5.0
Gift card for my daughter,4.0
Nice present,5.0
My niece loved this birthday greeting/gift card.,5.0
fine as a gift.,5.0
I would have preferred some more choices.,5.0
great,5.0
Very cute design and enjoyed by recipient.,5.0
"I used the text option to send these last minute gift cards to my Granddaughters (via their mom's phone). Works really well, you get a confirmation email that it has been received, and a confirmation that the cards have been redeemed. Granddaughter's very happy with the card design. I love the options you have when you send Amazon gift cards!",4.0
This was for a gift and it was well received.,5.0
Great way to send a last minute birthday gift to someone through email. Cant go wrong with Amazon gift cards!,5.0
guess it was appreciated?,5.0
I bought several of these cards for 'stocking gifts' for the church staff. Glad that Amazon actually had a Real Christmas themed card.,5.0
was gift,4.0
great,5.0
they are gift cards,5.0
Xmas gift.,5.0
This was a birthday gift,4.0
everyone loved getting them for Christmas  Thanks,5.0
Xmas stocking stuffer. Loved it,5.0
Easy gift that I knew recipient would love.,5.0
Very nice,5.0
"I sent this to one of my relatives out of town , she thanked me for it",5.0
"Came on time, and exactly as described.",5.0
Nice card,5.0
This was a gift.,5.0
lots of thank you's from nieces.,5.0
Cute!,5.0
Love gift cards..fast delivery!,5.0
"Ok looking card (not great). But I would have liked it to come in a tin. As one of the ones I ordered, the card was bent in half. And couldn't have been done by post office as they were in a box.",2.0
It was good experiance,5.0
Nice look,5.0
"Always a great gift for any one, any time. And very convenient.",5.0
attractive card; easy to print; convenient,5.0
A great gift for someone.,5.0
Always a perfect gift for my son.,5.0
Can never go wrong,5.0
love it,5.0
nieces and nephews enjoyed using these cards.,5.0
"How can you go wrong with a amazon gift certificate, you can't",5.0
Good gift for anyone,5.0
gift,5.0
great gift,5.0
Wife loves it,5.0
Very pleased with the gift card in a greeting card.  Nice way to give a gift.,5.0
Gift cards the perfect gift.,5.0
Enjoyed by the person receiving it and it was appreciated.,5.0
Card works just fine,5.0
Always a wonderful gift,5.0
Loved the Cat in the Hat card that came free with the purchase of an Amazon Gift card. Adorable to give as a gift!,5.0
Love it.,5.0
What can you say about a gift card.,5.0
"!Always good to give an Amazon Gift Card! I wish they would stop putting the ""A"" symbol on the cards they send with the gift card, really sort of botches the message.",4.0
They are gift cards.,5.0
Its a gift card,5.0
nice,5.0
"Was ordered as a gift, they where very happy with item.",5.0
Gift well received.  Can't go wrong with an Amazon gift card!,5.0
You just can't go wrong giving an Amazon card out.  Everyone loves it and they can buy themselves just what they want.,5.0
